N,k_per_token,F_rd,d_eff,load,rho_blk,coherence,welch_floor,d_eff_meas,f_eff_meas,rho_rd,pair,gamma_r,leverage,log_alignment,S,feasible
8,1,128,32,4.0,16.0,0.647105585559266,0.15369465587356798,25.353790511340456,128,5.048554769068834,22,0.39673190959063903,2.120763128777763,0.1712584291950742,1.1885315182206746,True
8,1,128,32,4.0,16.0,0.647105585559266,0.15369465587356798,25.353790511340456,128,5.048554769068834,23,0.38873006577053937,2.120763128777763,0.16382691870042415,1.2129969363128312,True
8,1,128,32,4.0,16.0,0.647105585559266,0.15369465587356798,25.353790511340456,128,5.048554769068834,24,0.3739447490308206,2.161420650036012,0.1506306702189192,1.2372380403591654,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,0,0.3955080495316923,1.7263136049887948,0.17010838284822127,1.4646200662097408,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,1,0.4182369024800691,1.6315703162094954,0.19227748085726556,1.4654528677100782,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,2,0.41789744362570197,1.74034330726408,0.19193353224311183,1.374976761087334,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,3,0.3560055945458362,1.7982285894259353,0.13552192481753425,1.562062041473211,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,4,0.4038415244478267,1.7345451703562396,0.17803632377615322,1.4275897244303966,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,5,0.35477152827886693,1.7269538890233447,0.13451797888625058,1.6321891984479906,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,6,0.3826592290936479,1.8113273609914669,0.15832548207870661,1.4427492604378889,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,7,0.40022841660096237,1.5879284422651148,0.17457101255550958,1.5734797264765958,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,8,0.41578565706323045,1.705366934282878,0.18980272623153704,1.4103037414328212,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,9,0.2916637712542201,1.7157289339791129,0.08890526613393068,1.998337497769219,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,10,0.4279884500825589,1.7553710619454825,0.20232931993563613,1.3310642412837272,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,11,0.4062716194502334,1.621636546825209,0.1803913753181704,1.5178539712670975,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,12,0.4089341889100305,1.6809129580175484,0.1829943881256037,1.4547935055875154,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,13,0.42732878851067524,1.5810974766841344,0.20163881153421517,1.48005959540106,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,14,0.3431153940752088,1.8081139082054547,0.12525507731807736,1.6118848365850953,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,15,0.33233104384453716,1.8779387227228532,0.11703273024654874,1.6023141621009949,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,16,0.31265462071666356,1.8444108598426188,0.10286686279110888,1.7341133347859272,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,17,0.3700845079354782,1.9183712959038772,0.14729718561214894,1.4085310557995319,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,18,0.43509617703447456,1.692626390557043,0.209867917876002,1.3578557156908095,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,19,0.44649682941817487,1.5657193464282178,0.22234314507536734,1.4304335998522055,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,20,0.3964846411680323,1.7792031471887886,0.17102568091796239,1.4175816845246754,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,21,0.46597556912423305,1.6696887712218018,0.24479275202948422,1.2852905843715472,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,22,0.36224726441363553,1.753895149655824,0.1406688961949011,1.57395118338613,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,23,0.4123439333147338,1.7962899637366432,0.18636273457425137,1.35009381372814,True
16,1,64,32,2.0,4.0,0.6042134998207256,0.12598815766974242,20.95256503946314,64,3.054518617623146,24,0.4164741741715779,1.7263136049887948,0.1904957600512933,1.3908882269682992,True
24,1,43,32,1.34375,1.7916666666666667,0.5440462100751794,0.09046835805696823,17.839163895353032,43,2.4104268704656713,0,0.45418896526006497,1.3250363447539784,0.23103412034104348,1.6616349967435278,True
24,1,43,32,1.34375,1.7916666666666667,0.5440462100751794,0.09046835805696823,17.839163895353032,43,2.4104268704656713,1,0.31246035378589065,1.480473455271543,0.10273227549548765,2.1617449589175384,True
24,1,43,32,1.34375,1.7916666666666667,0.5440462100751794,0.09046835805696823,17.839163895353032,43,2.4104268704656713,2,0.3641607578396123,1.494817339858979,0.1422701013606773,1.8370404906992848,True
24,1,43,32,1.34375,1.7916666666666667,0.5440462100751794,0.09046835805696823,17.839163895353032,43,2.4104268704656713,3,0.34519851154299586,1.480473455271543,0.12688156595179123,1.956728004529963,True
