cell,F,d_eff_nominal,N,s,geometry,monitor_angle_deg,monitor_rank,superposed,load,coherence,welch_floor,coherence_gap,d_eff_meas,f_eff_meas,rho_rd,pair,gamma_r,log_alignment,leverage,delta_read,delta_input,feasible
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,16,0.1506060141917078,0.02294336920751973,2.529289756282141,2.62518007832244,2.62518007832244,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,17,0.4418460529057813,0.21719619006562596,2.099875134156345,1.077793473524476,1.077793473524476,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,18,0.2737969429322475,0.07792345134006297,2.503784692801852,1.4587283561978732,1.4587283561978732,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,19,0.18404663816263003,0.03446015423638929,2.246085298049358,2.4190556865832833,2.4190556865832833,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,20,0.31240828755543165,0.1026962215250692,2.325434738576595,1.3764907516131353,1.3764907516131353,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,21,0.1652117238225405,0.027674340055353165,2.514989690254956,2.4067053769762543,2.4067053769762543,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,22,0.33697220392125216,0.12053085695427525,2.405885377018993,1.2334768104755502,1.2334768104755502,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,23,0.3199200520167644,0.10797374904920069,2.2288666450010903,1.4024082347598663,1.4024082347598663,True
0,32,8,8,0.05,random,30.0,4,True,4.0,0.8623773464215243,0.3110855084191276,0.5512918380023968,6.132458721931975,32,5.218135408813431,24,0.30498734823755985,0.09763188371775869,2.2288666450010903,1.4710725477820392,1.4710725477820392,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,0,0.3937184174340427,0.16843544730064533,1.9892329570148102,1.2768169028263228,1.2768169028263228,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,1,0.23078456406547798,0.05473237494744165,1.9878918059871107,2.179718943547782,2.179718943547782,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,2,0.43808271613644706,0.21308984236103715,1.9791490191804957,1.1533613278169936,1.1533613278169936,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,3,0.45893453094127656,0.23650859658321585,2.0083045825710006,1.0849748839982818,1.0849748839982818,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,4,0.4404617286777212,0.21567964374133342,1.9970333921894834,1.1368587123001823,1.1368587123001823,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,5,0.4167734827594473,0.19079753978117103,2.012808522821743,1.1920581961908934,1.1920581961908934,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,6,0.480982621537932,0.2631121109229079,1.9976511882456383,1.0407608735704272,1.0407608735704272,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,7,0.355701644004416,0.13527423569064778,2.0092990886880178,1.3991669572608953,1.3991669572608953,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,8,0.2402293484762589,0.05944234459282095,1.9791490191804957,2.103272003948101,2.103272003948101,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,9,0.27446673599643234,0.07832051310154663,2.0042432158343875,1.8178575996661492,1.8178575996661492,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,10,0.10613576271223472,0.011328728534687466,2.001518989396752,4.707372219132626,4.707372219132626,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,11,0.4071602649373256,0.1812575007150674,2.0134083662250424,1.2198396420038617,1.2198396420038617,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,12,0.40038451557599825,0.17471983560384552,1.9873532620721348,1.256746414081561,1.256746414081561,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,13,0.2665177450137962,0.07368067251316739,1.9976511882456383,1.8782535224365622,1.8782535224365622,True
