cell,F,d_eff_nominal,N,s,geometry,monitor_angle_deg,superposed,load,coherence,welch_floor,coherence_gap,rho_rd,d_eff_meas,f_eff_meas,gamma_r_mean,log_alignment_mean,delta_read_median,delta_read_mean,delta_input_median,infeasible_frac
67,64,32,32,0.05,random,30.0,True,2.0,0.6016760823921928,0.12598815766974242,0.4756879247224504,2.9571645681269394,21.64235318176338,64,0.39527031858972783,0.17375711524498194,1.480620192061136,1.504243952406759,1.480620192061136,0.0
68,64,32,32,0.05,random,45.0,True,2.0,0.5616234000523181,0.12598815766974242,0.4356352423825757,2.939565547951128,21.77192478140448,64,0.5978017254715631,0.450265203691822,0.9833168132369137,0.985569616766391,0.9833168132369137,0.0
69,64,32,32,0.1,random,15.0,True,2.0,0.5496366479070621,0.12598815766974242,0.4236484902373197,3.0013612987827565,21.323657377056232,64,0.1978904289508489,0.040619435357368644,2.956958740430439,2.9466211585927877,2.956958740430439,0.0
70,64,32,32,0.1,random,30.0,True,2.0,0.5450572382304838,0.12598815766974242,0.4190690805607414,2.880787116276512,22.21615045360296,64,0.39700980633638855,0.17365504580136204,1.51633707397455,1.5246013123327624,1.51633707397455,0.0
71,64,32,32,0.1,random,45.0,True,2.0,0.5679177555346299,0.12598815766974242,0.44192959786488745,3.0459764675285865,21.011324507023414,64,0.5744270006856704,0.40662650076428897,1.023879345804465,1.0220667169991593,1.023879345804465,0.0
72,64,64,64,0.02,random,15.0,False,1.0,0.401848432090312,0.0,0.401848432090312,2.058400199201101,31.092107368061587,64,0.17101982019197567,0.029945853563608738,4.102268571537655,4.171216474757359,4.102268571537655,0.0
73,64,64,64,0.02,random,30.0,False,1.0,0.4839379449218204,0.0,0.4839379449218204,2.0533888758714807,31.167988076704514,64,0.3633449488575937,0.14349723155453672,1.990183769064362,1.9902984067472442,1.990183769064362,0.0
74,64,64,64,0.02,random,45.0,False,1.0,0.4422956359868178,0.0,0.4422956359868178,2.074149846231105,30.856015594193007,64,0.5374731365258965,0.34517998374391057,1.3158892692150261,1.3179872644036639,1.3158892692150261,0.0
75,64,64,64,0.05,random,15.0,False,1.0,0.420368800968948,0.0,0.420368800968948,1.9990148048701188,32.015770890780495,64,0.17431286852946207,0.03133617360238056,4.096425412983644,4.114976171031807,4.096425412983644,0.0
76,64,64,64,0.05,random,30.0,False,1.0,0.4032422258936407,0.0,0.4032422258936407,1.9676739018326057,32.52571472355922,64,0.36252721985704,0.14248354471694574,1.9788277337065177,2.0052420709898806,1.9788277337065177,0.0
77,64,64,64,0.05,random,45.0,False,1.0,0.43286303750169947,0.0,0.43286303750169947,2.0578541758631217,31.100357231656904,64,0.544800963147596,0.3593641212878441,1.3069434023807134,1.3252418532741999,1.3069434023807134,0.0
78,64,64,64,0.1,random,15.0,False,1.0,0.4272350025621807,0.0,0.4272350025621807,1.9724265174591082,32.44734312457185,64,0.17633332469000768,0.031911870123752475,3.992615784480732,4.061544505523482,3.992615784480732,0.0
79,64,64,64,0.1,random,30.0,False,1.0,0.4488574806319849,0.0,0.4488574806319849,2.0716818470254807,30.892774434400316,64,0.35466062580104973,0.1360150603811815,2.0186069848355053,2.0128942823947904,2.0186069848355053,0.0
